,URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code),no2_µg/m3,pm25_µg/m3,no2_x,no2_y,pm_x,pm_y
1541,101543,304,Brent,3506.0,St Robert Southwell RC Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,01-01-1900,99,,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,420.0,2,No Special Classes,17-01-2019,459.0,231.0,228.0,5.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10081243.0,,Not applicable,16-01-2018,0,Not applicable,11-07-2019,Slough Lane,Kingsbury,,London,,NW9 8YD,www.robsouth.org,2082046148.0,Miss,Honor,Beck,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000090,Fryent,E14000592,Brent North,A1,Urban major conurbation,E09000005,520098.0,188410.0,,Brent 003,Brent 003A,,,,,,999,,,Good,North-West London and South-Central England,,202078002.0,,E02000095,E01000515,32.70471,12.76323,520100.0,188420.0,520100.0,188420.0
1542,101544,304,Brent,3507.0,Convent of Jesus and Mary RC Infant School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,270.0,2,No Special Classes,17-01-2019,287.0,145.0,142.0,9.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10079609.0,,Not applicable,29-09-2010,0,Not applicable,11-07-2019,21 Park Avenue,,,London,,NW2 5AN,www.cjminfantschool.co.uk,2084595890.0,Miss,Elsa,Fonseca,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000105,Willesden Green,E14000591,Brent Central,A1,Urban major conurbation,E09000005,523022.0,184716.0,,Brent 022,Brent 022D,,,,,,999,,,Outstanding,North-West London and South-Central England,,202025796.0,,E02000114,E01000642,37.19403,13.299489999999999,523020.0,184720.0,523020.0,184720.0
1543,101545,304,Brent,3508.0,Our Lady of Lourdes RC Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,240.0,2,No Special Classes,17-01-2019,213.0,96.0,117.0,13.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10071659.0,,Not applicable,07-07-2016,0,Not applicable,11-07-2019,Wesley Road,,,London,,NW10 8PP,http://www.lourdes.brent.sch.uk/,2089615037.0,Ms,Mary,Bickerstaff,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000100,Stonebridge,E14000591,Brent Central,A1,Urban major conurbation,E09000005,520418.0,183856.0,,Brent 027,Brent 027E,,,,,,999,,,Good,North-West London and South-Central England,,202025656.0,,E02000119,E01000600,37.431779999999996,13.19837,520420.0,183860.0,520420.0,183860.0
1544,101546,304,Brent,3509.0,St Joseph's RC Infant School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,01-01-1900,99,,,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,270.0,2,No Special Classes,17-01-2019,262.0,124.0,138.0,4.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10081244.0,,Not applicable,23-09-2009,0,Not applicable,11-07-2019,Waverley Avenue,,,Wembley,,HA9 6TA,www.sjinf.brent.sch.uk,2089036032.0,Mrs,A,Whelan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000104,Wembley Central,E14000592,Brent North,A1,Urban major conurbation,E09000005,518816.0,185048.0,,Brent 020,Brent 020E,,,,,,999,,,Outstanding,North-West London and South-Central England,,202025620.0,,E02000112,E01000636,35.71881,13.286320000000002,518820.0,185040.0,518820.0,185040.0
1545,101547,304,Brent,3510.0,Our Lady of Grace RC Infant and Nursery School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,99,,,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,4,Non-selective,180.0,2,No Special Classes,17-01-2019,243.0,118.0,125.0,10.0,0,Not applicable,,,Not applicable,,Not under a federation,,,10079608.0,,Not applicable,22-03-2011,0,Not applicable,11-07-2019,Dollis Hill Avenue,,,London,,NW2 6EU,www.ologinfants.brent.sch.uk/,2084506757.0,Mrs,Philomena,Bourne,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000088,Dollis Hill,E14000591,Brent Central,A1,Urban major conurbation,E09000005,523176.0,186533.0,,Brent 011,Brent 011A,,,,,,999,,,Outstanding,North-West London and South-Central England,,202025660.0,,E02000103,E01000497,40.446740000000005,13.599379999999998,523180.0,186540.0,523180.0,186540.0
1546,101548,304,Brent,3511.0,St Margaret Clitherow RC Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,99,,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,235.0,2,No Special Classes,17-01-2019,208.0,97.0,111.0,5.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10081245.0,,Not applicable,04-11-2015,0,Not applicable,11-07-2019,Quainton Street,,,London,,NW10 0BG,,2084503631.0,Mrs,Ewa,McSperrin,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000103,Welsh Harp,E14000591,Brent Central,A1,Urban major conurbation,E09000005,520508.0,185961.0,,Brent 010,Brent 010E,,,,,,999,,,Good,North-West London and South-Central England,,202025609.0,,E02000102,E01000626,35.02258,13.07302,520500.0,185960.0,520500.0,185960.0
1547,101549,304,Brent,3601.0,Sinai Jewish Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,5,Jewish,Does not apply,0000,Not applicable,0,Not applicable,690.0,2,No Special Classes,17-01-2019,605.0,294.0,311.0,2.0,0,Not applicable,,,Not applicable,,Not under a federation,,,10073750.0,,Not applicable,23-01-2019,0,Not applicable,11-07-2019,Shakespeare Drive,Kenton,,Harrow,Middlesex,HA3 9UD,www.sinaischool.com/,2082041550.0,Mrs,Juliette,Lipshaw,Interim Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000086,Barnhill,E14000592,Brent North,A1,Urban major conurbation,E09000005,519138.0,188145.0,,Brent 006,Brent 006B,,,,,,999,,,Good,North-West London and South-Central England,,202025578.0,,E02000098,E01000484,32.29036,12.68727,519140.0,188140.0,519140.0,188140.0
1550,101552,304,Brent,5200.0,Oakington Manor Primary School,5,Foundation school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31-03-2016,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Does not apply,0000,Not applicable,0,Not applicable,760.0,2,No Special Classes,,,,,,2,Not supported by a trust,,,Not applicable,,Not under a federation,,,,,Not applicable,08-07-2010,0,Not applicable,15-10-2018,Oakington Manor Drive,,,Wembley,,HA9 6NF,www.oakmanor.brent.sch.uk,2089022871.0,Mrs,Sylvia,Libson,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000005,Brent,E05000102,Tokyngton,E14000591,Brent Central,A1,Urban major conurbation,E09000005,519960.0,185118.0,,Brent 017,Brent 017E,,,,,,999,,,Outstanding,North-West London and South-Central England,,202025672.0,,E02000109,E01000619,35.36954,13.17366,519960.0,185120.0,519960.0,185120.0
1551,101553,304,Brent,5201.0,North West London Jewish Day School,2,Voluntary aided school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31-07-2014,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,5,Jewish,Does not apply,0000,Not applicable,0,Not applicable,229.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,180 Willesden Lane,,,London,,NW6 7PP,http://www.nwljds.org.uk/,2084593378.0,Rabbi,Daniel,Kerbel,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000087,Brondesbury Park,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000005,524137.0,184374.0,,Brent 023,Brent 023C,,,,,,999,,,,North-West London and South-Central England,,202025684.0,,E02000115,E01000495,38.01493,13.474570000000002,524140.0,184380.0,524140.0,184380.0
1553,101555,304,Brent,5203.0,St Joseph's Roman Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,600.0,2,No Special Classes,17-01-2019,491.0,221.0,270.0,14.0,0,Not applicable,,,Not applicable,,Not under a federation,,,10071658.0,,Not applicable,17-01-2013,0,Not applicable,11-07-2019,Goodson Road,Willesden,,London,,NW10 9LS,www.stjosephsrc.co.uk/,2089655651.0,Mrs,D,Titus,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000091,Harlesden,E14000591,Brent Central,A1,Urban major conurbation,E09000005,521386.0,184266.0,,Brent 025,Brent 025E,,,,,,999,,,Outstanding,North-West London and South-Central England,,202025613.0,,E02000117,E01000527,38.41711,13.40576,521380.0,184260.0,521380.0,184260.0
1566,101568,310,Harrow,6079.0,Buckingham Preparatory School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,13-10-1961,0,Not applicable,,0,Not applicable,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,1,Boys,6,None,Inter- / non- denominational,0000,Not applicable,2,Selective,140.0,2,No Special Classes,17-01-2019,130.0,122.0,8.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10075159.0,,Not applicable,,0,Not applicable,11-07-2019,458 Rayners Lane,,,Pinner,,HA5 5DT,www.buckprep.org,2088662737.0,Mrs,Sarah,Hollis,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000015,Harrow,E05000300,Rayners Lane,E14000732,Harrow West,A1,Urban major conurbation,E09000015,512955.0,187969.0,,Harrow 025,Harrow 025B,ISI,0.0,7.0,Does not have boarders,,999,,,,North-West London and South-Central England,,,,E02000457,E01002209,30.899179999999998,12.5211,512960.0,187960.0,512960.0,187960.0
1567,101569,304,Brent,6051.0,Buxlow Preparatory School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,11-10-1957,0,Not applicable,,0,Not applicable,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,4,Non-selective,140.0,2,No Special Classes,17-01-2019,94.0,46.0,48.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10079895.0,,Not applicable,,0,Not applicable,11-07-2019,5/6 Castleton Gardens,,,Wembley,,HA9 7QJ,http://www.buxlowschool.org.uk,2089043615.0,Mr,Ralf,Furse,Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000097,Preston,E14000592,Brent North,A1,Urban major conurbation,E09000005,518199.0,186137.0,,Brent 012,Brent 012B,ISI,1.0,0.0,Does not have boarders,Inspired Learning Group Ltd,999,,,,North-West London and South-Central England,,202119478.0,,E02000104,E01000571,37.94323,13.3696,518200.0,186140.0,518200.0,186140.0
1568,101570,304,Brent,6053.0,Gower House School,11,Other independent school,3,Independent schools,2,Closed,0,Not applicable,22-01-1958,2,Closure,15-07-2016,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,4,Non-selective,220.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,,0,Not applicable,09-07-2019,5 Blackbird Hill,Kingsbury,,London,,NW9 8RR,,2082052509.0,,M,Keane,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000103,Welsh Harp,E14000591,Brent Central,A1,Urban major conurbation,E09000005,520397.0,186627.0,,Brent 009,Brent 009E,Ofsted,0.0,4.0,,Mrs S Edwards,999,,,,North-West London and South-Central England,,,,E02000101,E01000625,40.344879999999996,13.66929,520400.0,186620.0,520400.0,186620.0
1569,101571,304,Brent,6057.0,St Christopher's School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,21-02-1958,0,Not applicable,,0,Not applicable,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Christian,0000,Not applicable,9,,135.0,2,No Special Classes,18-01-2018,111.0,54.0,57.0,,0,Not applicable,,,Not applicable,,Not applicable,,,10078275.0,,Not applicable,,0,Not applicable,09-07-2019,71 Wembley Park Drive,,,Wembley,Middlesex,HA9 8HE,http://www.stchristophersschool.org.uk,2089025069.0,Mr,GP,Musetti,Head Master,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000097,Preston,E14000592,Brent North,A1,Urban major conurbation,E09000005,518914.0,186169.0,,Brent 012,Brent 012D,ISI,0.0,10.0,Does not have boarders,Inspired Learning Group Ltd,999,,,,North-West London and South-Central England,,202032314.0,,E02000104,E01000578,37.411359999999995,13.477120000000001,518920.0,186160.0,518920.0,186160.0
1570,101572,304,Brent,6059.0,St Nicholas School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,03-10-1957,0,Not applicable,,0,Not applicable,0.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Inter- / non- denominational,0000,Not applicable,4,Non-selective,80.0,2,No Special Classes,17-01-2019,72.0,38.0,34.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10078274.0,,Not applicable,,0,Not applicable,11-07-2019,22 Salmon Street,Kingsbury,,London,,NW9 8PN,www.stnicholasschool.org.uk,2082057153.0,Mr,Matthew,Donaldson,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000103,Welsh Harp,E14000591,Brent Central,A1,Urban major conurbation,E09000005,520260.0,186843.0,,Brent 009,Brent 009E,ISI,0.0,5.0,Does not have boarders,Inspired Learning Group Ltd,999,,,,North-West London and South-Central England,,202078002.0,,E02000101,E01000625,35.64691,13.143839999999999,520260.0,186840.0,520260.0,186840.0
1571,101573,307,Ealing,6007.0,"Ysgol Gymraeg Llundain, London Welsh School",11,Other independent school,3,Independent schools,1,Open,0,Not applicable,03-10-1961,0,Not applicable,,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,0,Not applicable,40.0,2,No Special Classes,17-01-2019,27.0,14.0,13.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10077616.0,,Not applicable,,0,Not applicable,11-07-2019,Hanwell Community Centre,Westcott Crescent,Hanwell,London,,W7 1PD,www.ysgolgymraegllundain.co.uk,2085750237.0,Miss,Rachel,Rawlins,Lead Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000009,Ealing,E05000180,Hobbayne,E14000675,Ealing North,A1,Urban major conurbation,E09000009,515572.0,181555.0,,Ealing 016,Ealing 016E,Ofsted,0.0,4.0,Does not have boarders,,304,Brent,6003.0,,North-West London and South-Central England,,12020472.0,,E02000253,E01001286,33.79423,12.81565,515580.0,181560.0,515580.0,181560.0
1574,101576,304,Brent,6072.0,Al-Sadiq and Al-Zahra Schools,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,03-01-1992,0,Not applicable,,0,Not applicable,3.0,16.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Muslim,0000,Not applicable,4,Non-selective,329.0,2,No Special Classes,17-01-2019,366.0,151.0,215.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10014872.0,,Not applicable,,0,Not applicable,17-07-2019,134 Salusbury Road,,,London,,NW6 6PF,,2073727706.0,Dr,M,Movahedi,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000098,Queens Park,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000005,524291.0,183852.0,,Brent 032,Brent 032B,Ofsted,0.0,7.0,Does not have boarders,Al Khoei Benevolent Foundation,999,,,,North-West London and South-Central England,,202046232.0,,E02000124,E01000580,45.61002,14.361770000000002,524300.0,183860.0,524300.0,183860.0
1581,101583,304,Brent,7009.0,The Village School,7,Community special school,5,Special schools,2,Closed,0,Not applicable,,10,Academy Converter,28-02-2019,0,Not applicable,3.0,19.0,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,277.0,1,Has Special Classes,17-01-2019,296.0,194.0,102.0,32.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10015791.0,,Not applicable,06-10-2016,0,Not applicable,11-07-2019,Grove Park,Kingsbury,,London,,NW9 0JY,,2082045396.0,Ms,Kay,Charles,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,PD - Physical Disability,SLD - Severe Learning Difficulty,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000099,Queensbury,E14000592,Brent North,A1,Urban major conurbation,E09000005,520242.0,189406.0,,Brent 001,Brent 001C,,,,,,999,,,Outstanding,North-West London and South-Central England,,202078002.0,,E02000093,E01000590,35.40762,13.17716,520240.0,189400.0,520240.0,189400.0
1587,101589,305,Bromley,2004.0,Churchfields Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31-10-2017,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,410.0,1,Has Special Classes,19-01-2017,446.0,230.0,215.0,5.9,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,25-05-2016,0,Not applicable,31-10-2017,Churchfields Road,,,Beckenham,Kent,BR3 4QY,www.churchfields.bromley.sch.uk,2086505247.0,Mr,Tom,Hyndley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,SLD - Severe Learning Difficulty,,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000006,Bromley,E05000112,Clock House,E14000788,Lewisham West and Penge,A1,Urban major conurbation,E09000006,535968.0,169207.0,,Bromley 013,Bromley 013A,,,,,,999,,,Good,South-East England and South London,,100022894885.0,,E02000139,E01000700,31.543470000000003,12.728639999999999,535960.0,169200.0,535960.0,169200.0
1598,101600,305,Bromley,2019.0,Princes Plain Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,6,For Academy,31-12-2014,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Church Lane,,,Bromley,Kent,BR2 8LD,http://www.princesplain.bromley.sch.uk,2084622443.0,Mrs,P A,King,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,SLD - Severe Learning Difficulty,,,,,,,,,,,,,Resource Provision,,,,,H,London,E09000006,Bromley,E05000108,Bromley Common and Keston,E14000551,Beckenham,A1,Urban major conurbation,E09000006,542428.0,166644.0,,Bromley 033,Bromley 033A,,,,,,999,,,,South-East England and South London,,10003626741.0,,E02000159,E01000665,27.72305,12.04448,542420.0,166640.0,542420.0,166640.0
1611,101613,305,Bromley,2040.0,Darrick Wood Infant School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31-07-2011,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270.0,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,13-11-2009,0,Not applicable,15-10-2018,Lovibonds Avenue,,,Orpington,Kent,BR6 8ER,http://www.darrickwood-inf.bromley.sch.uk,1689857278.0,Ms,Andrea,Moss,Acting Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000006,Bromley,E05000118,Farnborough and Crofton,E14000872,Orpington,A1,Urban major conurbation,E09000006,543802.0,164935.0,,Bromley 036,Bromley 036C,,,,,,999,,,Outstanding,South-East England and South London,,10003626623.0,,E02000162,E01000751,26.73957,11.930719999999999,543800.0,164940.0,543800.0,164940.0
1617,101619,305,Bromley,2048.0,Ramsden Infant School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,0,Not applicable,01-01-1999,2,Primary,5.0,7.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Dyke Drive,,,Orpington,Kent,BR5 4LZ,,1689830383.0,Mrs,Y,Beston,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000006,Bromley,E05000122,Orpington,E14000872,Orpington,A1,Urban major conurbation,E09000006,547161.0,166711.0,,Bromley 029,Bromley 029C,,,,,,999,,,,South-East England and South London,,,,E02000155,E01000787,26.88255,12.001330000000001,547160.0,166720.0,547160.0,166720.0
1626,101628,305,Bromley,2058.0,Anerley Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,2,Closure,31-08-2004,2,Primary,4.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,346.0,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,William Booth Road,Anerley,,London,,SE20 8BW,,2087787677.0,Miss,J R,Godfrey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000006,Bromley,E05000116,Crystal Palace,E14000788,Lewisham West and Penge,A1,Urban major conurbation,E09000006,534388.0,169775.0,,Bromley 009,Bromley 009A,,,,,,999,,,,South-East England and South London,,,,E02000135,E01000743,32.49387,12.80045,534380.0,169780.0,534380.0,169780.0
